ResponseID,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,workerId,site,hitId,assignmentId,condition,trait,consent,attn_check_1_1,attn_check_1_2,attn_check_1_3,attn_check_1_4,attn_check_1_5,attn_check_1_6,attn_check_1_7,RFQ_M_1,RFQ_M_2,RFQ_M_3,RFQ_M_4,RFQ_M_5,RFQ_M_6,RFQ_M_7,RFQ_M_8,RFQ_M_9,RFQ_M_10,RFQ_M_11,RFQ_M_12,RFQ_M_13,RFQ_M_14,RFQ_M_15,site_choice,multitab_faq,profile_num,profile_interest_num,attn_check_2,attn_check_3,engage_1,engage_2,engage_3,engage_4,ease_1,ease_2,ease_3,ease_4,ease_5,success_1,success_2,success_3,success_4,success_5,success_6,partner_1,partner_2,partner_3,partner_4,partner_5,partner_6,partner_7,suc_1,suc_2,suc_3,suc_4,suc_5,suc_6,suc_7,suc_8,suc_9,suc_10,panas_1,panas_2,panas_3,panas_4,panas_5,panas_6,panas_7,panas_8,panas_9,panas_10,panas_11,panas_12,panas_13,panas_14,panas_15,panas_16,panas_17,panas_18,panas_19,panas_20,age,gender,gender-TEXT,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,ethnicity_8,ethnicity_9,ethnicity_10,ethnicity_11,education,activity_1,activity_2,activity_3,activity_4,activity_5,activity_6,activity_7,activity_8,mc_compliance,mc_strategy,mc_strategy_use,trait-trait 1,trait-trait 2,trait-trait 3,careful_response,honest_response,debrief_concerns,debriefing,prevention,promotion,engage,ease,fit_success,fit_partner,ods,activity_distraction,pos_af,neg_af,duplicate,attn_check_1,attn_check,manip_check,exclusion
R_WkXwQCxv6oE5GP7,800807c7,0,2019-01-24T13:59:22Z,2019-01-24T14:20:55Z,1,13064313,fd324909,"Plenty of Fish, Tinder",3ZVPAMTJWN4KR59CSA1NTCL05W8RGO,3ZV9H2YQQD8RR9C4MR9AL1ZW8WB3WX,undesirable_compile,undesirable,1,NA,NA,NA,NA,NA,NA,NA,3,4,2,6,7,2,2,5,7,5,7,6,7,7,6,pof,NA,35,2,2,10,3,5,3,3,7,2,6,1,2,5,6,8,7,8,8,7,7,7,7,7,7,6,12,12,16,13,14,12,16,13,12,16,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,4,1,1,1,29,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,compliant,undesirable_eliminate,1,Smoking,Religious,Too much partying,1,1,NA,1,3.7142857142857144,6.25,3.6666666666666665,6.666666666666667,4,7,2.4,0,1.7,1,nonduplicated,0,pass,fail,eligible
R_3EZqSJfIQrdNHC8,20080567,0,2019-01-24T13:54:51Z,2019-01-24T14:21:41Z,1,5945931,d5230e47,"OkCupid, eHarmony, Match.com/ca, Plenty of Fish, Tinder",3WYZV0QBFJE8XKNDLNF1HJGRQ01BXN,3HSYG7LRBJZ6S7QUIJI6ECM3WBLKKQ,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,5,6,3,5,4,3,3,7,7,7,7,6,6,7,7,pof,NA,25,2,2,10,4,7,7,6,7,1,6,1,5,8,9,9,8,8,7,5,4,3,4,7,5,3,14,15,15,15,14,15,13,13,15,15,3,1,3,1,4,2,1,1,3,5,1,1,2,4,1,5,3,1,4,1,23,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,1,compliant,desirable_eliminate,1,charming,elegant,educated,1,1,NA,1,4.142857142857143,6.75,6,7,5.166666666666667,4.666666666666667,4.2,1,3.5,1.2,nonduplicated,0,pass,fail,eligible
R_1jfHEwVIicuASz0,89793b72,0,2019-01-24T13:56:16Z,2019-01-24T14:22:36Z,1,12289900,7a684dbe,Plenty of Fish,3FULMHZ7OUYDI930S135YOUN940M48,3QAPZX2QN4E9Y1F0PK2KVWL01DU20H,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,5,6,2,5,6,5,4,5,5,6,6,4,6,5,7,pof,NA,16,2,2,8,7,7,6,6,6,6,6,6,5,8,9,9,8,9,8,5,6,7,5,5,6,5,15,15,12,15,14,16,11,16,15,12,3,1,4,1,3,1,1,1,4,3,1,1,1,5,1,4,3,1,3,1,37,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_compile,1,Music,Commitment level,Religion,1,1,NA,1,4.714285714285714,5.5,6.666666666666667,3.3333333333333335,5.5,5.666666666666667,5.5,0,3.3,1,nonduplicated,0,fail,pass,ineligible
R_1EgMMTcOju50A9Z,06c28062,0,2019-01-24T14:00:05Z,2019-01-24T14:23:03Z,1,47881040,dde86c4a,"OkCupid, eHarmony, Match.com/ca, Plenty of Fish",3MD8CKRQZZOUI7ZD0GMQQPDGXOPRJS,3ZWFC4W1UU8HZPBB7S06ZBGCJ71FRF,desirable_eliminate,desirable,1,NA,NA,NA,NA,NA,NA,NA,6,5,5,6,4,6,6,7,7,6,6,2,7,6,6,pof,1,24,4,2,10,4,3,3,6,6,6,3,3,3,8,8,7,7,7,8,5,7,5,6,7,7,5,15,15,14,14,16,14,15,13,14,15,4,3,4,1,3,1,1,2,4,3,2,4,1,5,2,4,4,1,4,1,35,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_eliminate,1,humor,family oriented,outgoing,1,1,NA,1,5.428571428571429,5.875,3.3333333333333335,4.333333333333333,4.5,6.166666666666667,4.1,0,3.9,1.5,nonduplicated,0,pass,pass,eligible
R_12FSuXqU7zbFVfe,8c77f156,0,2019-01-24T13:56:55Z,2019-01-24T14:27:26Z,1,40223107,4729bdad,"eHarmony, Plenty of Fish, Zoosk",3RSBJ6YZECRBGSL1PYE1HWGJTUOOFD,38YMOXR4MU0QOSZM5T78S4BGIM26WT,undesirable_eliminate,undesirable,1,NA,NA,NA,NA,NA,NA,NA,2,2,2,6,6,2,4,6,6,6,6,6,6,6,6,eharm,NA,20,3,2,10,6,6,6,5,6,2,6,2,4,9,9,9,9,9,8,6,5,6,6,6,6,5,16,16,12,15,16,16,12,16,16,12,4,1,3,1,4,1,1,1,3,3,1,4,1,4,1,4,5,1,4,1,32,male,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,compliant,undesirable_eliminate,1,snobbish,not religous,not romantic,1,1,NA,1,3.4285714285714284,6,6,6,5.833333333333333,5.833333333333333,5.9,0,3.8,1,nonduplicated,0,pass,pass,eligible
R_1QMJhtOqQzEDscI,00fb5024,0,2019-01-24T14:03:18Z,2019-01-24T14:28:24Z,1,22754314,5de68d53,Plenty of Fish,3IZPORCT1FAYR14NCGJ5ECX1KWLRHN,3OJSZ2ATDSXFF9Y7S2PR8IYZT1T57N,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,5,6,5,4,4,5,6,4,7,5,4,5,5,4,4,pof,NA,6,1,2,10,5,5,5,5,7,6,4,4,4,7,7,7,7,6,8,5,6,6,6,7,6,6,13,13,16,12,14,13,16,13,13,16,3,2,1,1,2,1,1,2,2,1,3,3,2,1,4,2,4,3,3,1,64,female,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_compile,2,sense of humor,attractive,spiritual,1,1,none,1,5,4.75,5,4.333333333333333,4,6,2.7,0,2.2,2,nonduplicated,0,pass,pass,eligible
R_5axtlLL1FsUhWy5,6b98584f,0,2019-01-24T14:08:50Z,2019-01-24T14:29:49Z,1,966268,9dec15bb,Plenty of Fish,3FULMHZ7OUYDI930S135YOUN940M48,3IX2EGZR7BKX4RX7QIRRE984CD7JR9,desirable_eliminate,desirable,1,NA,NA,NA,NA,NA,NA,NA,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,eharm,NA,20,1,2,10,7,7,7,7,7,1,5,2,5,8,9,9,9,9,9,7,7,7,7,7,7,7,13,16,14,13,14,14,17,14,14,14,4,1,3,1,3,1,1,1,2,3,1,2,1,1,1,3,3,1,3,1,39,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_eliminate,1,Intellect,Emotional Intelligence,Loyalty,1,1,NA,1,5.857142857142857,6,7,6.666666666666667,5.833333333333333,7,3.7,0,2.7,1,nonduplicated,0,pass,pass,eligible
R_3nru3E2HJeGz78a,b323abde,0,2019-01-24T14:11:49Z,2019-01-24T14:31:23Z,1,47344763,34d4ad52,"Bumble, OkCupid, Tinder",3D5G8J4N5A5GPHCZLU54TSPSGWTVTU,3G0WWMR1UVLTBG9SS1UJ2QFGPCUQN5,undesirable_eliminate,undesirable,1,NA,NA,NA,NA,NA,NA,NA,4,6,3,NA,5,4,4,5,7,5,6,6,6,6,5,okc,NA,22,2,2,10,4,4,3,6,6,3,6,2,5,7,7,7,7,7,7,4,5,5,5,6,6,4,13,14,16,13,15,14,16,12,13,16,3,1,2,1,3,1,1,1,2,1,2,3,1,2,2,3,4,3,2,1,26,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,1,compliant,undesirable_eliminate,1,Smoker,Wild party goer,No career,1,1,NA,1,4.333333333333333,5.75,3.6666666666666665,5.666666666666667,4,5.166666666666667,3,1,2.5,1.4,nonduplicated,0,pass,pass,eligible
R_3I44r7ZrbftyH9M,08368f87,0,2019-01-24T14:13:47Z,2019-01-24T14:34:40Z,1,36097504,c78ce001,"Badoo, OkCupid, Plenty of Fish, Tinder, Zoosk",31ANT7FQN839ME6PF962BBS5SEWH5Z,3YHH42UU5BGFZN18ZQKPASK97CC0LT,undesirable_eliminate,undesirable,1,NA,NA,NA,NA,NA,NA,NA,6,2,6,6,7,2,2,6,6,6,7,6,6,6,7,pof,1,20,4,2,10,7,7,7,7,7,1,7,1,1,8,9,9,10,9,9,7,7,7,6,6,6,6,12,13,14,13,15,15,16,15,16,16,5,1,3,1,3,1,1,1,4,4,1,4,1,4,1,4,5,1,4,1,43,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,compliant,undesirable_eliminate,1,A few extra pounds,smoker,wants kids,1,1,none,1,4.428571428571429,6.25,7,7,6,6.5,3.7,0,4,1,nonduplicated,0,pass,pass,eligible
R_OQd1m4StkM4nzwd,00a94118,0,2019-01-24T14:18:40Z,2019-01-24T14:37:26Z,1,66270882,c7b34760,"OkCupid, eHarmony, OurTime, Plenty of Fish, Zoosk",31ANT7FQN839ME6PF962BBS5SEWH5Z,37M28K1J0QE55ABQO755JJJUCA8JAS,desirable_eliminate,desirable,1,NA,NA,NA,NA,NA,NA,NA,4,3,3,5,5,6,4,6,4,5,4,5,5,4,5,pof,NA,15,2,2,10,4,6,6,5,7,3,6,4,5,8,7,9,8,8,8,5,5,4,5,5,5,4,13,13,13,15,14,14,13,15,13,15,3,2,4,1,4,1,1,1,3,3,1,3,1,2,2,3,5,1,1,1,64,female,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_compile,1,working status,family friendly,build,1,1,none at this time,1,4.285714285714286,4.75,5.333333333333333,5.333333333333333,5,4.833333333333333,4,0,3.1,1.2,nonduplicated,0,pass,fail,eligible
R_2aP80vW9iIzsZhv,77bb90a4,0,2019-01-24T14:13:14Z,2019-01-24T14:42:32Z,1,31010686,a8986bcf,"JDate, Plenty of Fish",3SNR5F7R92U9ESA2WSHQFHZX5KAEIQ,3QAVNHZ3EM5B00ZQRSHIZYWMGZ5LAO,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,4,3,4,6,6,5,5,5,6,6,6,pof,NA,4,1,2,10,7,6,6,6,6,2,6,2,3,7,7,8,8,8,8,6,5,5,5,6,5,6,15,15,13,14,16,14,13,14,14,14,5,1,4,1,3,1,2,1,4,3,1,5,1,4,2,4,5,1,3,1,46,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_compile,1,dependable,honest,caring,1,1,NA,1,3.5714285714285716,5.625,6.333333333333333,6,4.666666666666667,5.333333333333333,4.6,0,4,1.2,nonduplicated,0,pass,pass,eligible
R_9mfEoj4r73zqK1H,8a266c0f,0,2019-01-24T14:24:23Z,2019-01-24T14:45:14Z,1,83220785,4d81eb54,"OkCupid, Plenty of Fish",3IZPORCT1FAYR14NCGJ5ECX1KWLRHN,3WJEQKOXA83YATVMYIZZFJN8ITE1AC,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,2,7,6,7,7,6,6,7,7,6,7,6,5,7,7,pof,NA,20,0,2,10,6,5,2,6,7,1,7,1,1,4,5,7,5,5,4,4,1,1,1,4,4,1,12,11,14,14,17,12,16,17,12,17,4,2,2,2,5,2,2,2,3,5,2,5,2,4,2,5,5,1,2,2,61,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_eliminate,1,single women,no kids,looking for love,1,1,"Online dating is a ordeal I wish I could do without. Problem is that omnline dating is better than barsluts by far, though many are also barsluts online and off. I think I will go fine a cave and a sleeping bear for company.",1,5.857142857142857,6.5,4.333333333333333,7,2,2.5,3.2,0,4,1.9,nonduplicated,0,pass,fail,eligible
R_3D1kohv4gE8QEAs,6a7e3b5e,0,2019-01-24T14:19:26Z,2019-01-24T14:47:17Z,1,19098443,4faea5cd,"eHarmony, Match.com/ca",3J06WJ78HNLV29GOQP5JUADDDH9VVA,3GA6AFUKOOP9UJHFRSNAKYP9T8DH3Q,undesirable_compile,undesirable,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,6,6,5,2,6,6,6,6,6,6,6,6,eharm,NA,6,4,2,10,5,5,4,5,6,3,5,3,5,10,9,9,9,9,9,5,5,5,5,5,5,6,16,16,12,16,16,16,12,16,16,12,4,1,3,1,5,1,1,1,4,4,1,4,1,4,1,4,4,1,4,1,51,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,compliant,undesirable_compile,NA,smoking,had kids,liked working out,1,1,"Great study, thanks for the opportunity",1,3.2857142857142856,6,4.666666666666667,5.333333333333333,6.166666666666667,5,6,0,4,1,nonduplicated,0,pass,pass,eligible
R_1OYQwbDJhiCp5QA,236f89a0,0,2019-01-24T14:06:22Z,2019-01-24T14:48:09Z,1,23846910,673fe415,"Badoo, OkCupid, Plenty of Fish, Tinder",31ANT7FQN839ME6PF962BBS5SEWH5Z,3JWH6J9I9SE67A739JXT71KH3B9NB4,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,6,3,5,7,6,6,6,6,6,6,6,okc,NA,5,2,2,10,5,5,5,5,6,2,5,2,4,8,7,8,8,8,8,5,5,5,5,5,5,5,15,14,13,14,14,15,13,15,15,12,4,1,4,1,4,1,1,1,3,4,1,4,1,4,1,4,4,1,4,1,25,male,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_compile,1,Orentation,Personality,Religon,1,1,NA,1,3.5714285714285716,6.125,5,6,4.833333333333333,5,4.8,0,3.9,1,nonduplicated,0,pass,pass,eligible
R_1n2xqSAB2zMyj7V,b4b6b2dd,0,2019-01-24T14:30:12Z,2019-01-24T14:50:19Z,1,47564954,ceaba212,OkCupid,3SNR5F7R92U9ESA2WSHQFHZX5KAEIQ,3HMIGG0U4L7HHBDAD9MUXFSNZQI8Y8,undesirable_compile,undesirable,1,NA,NA,NA,NA,NA,NA,NA,4,5,6,5,5,6,5,5,4,5,5,6,6,6,5,okc,NA,30,8,2,10,7,7,7,7,7,1,7,3,4,10,10,10,10,10,10,7,7,7,7,7,7,7,16,16,12,16,16,16,13,16,16,12,5,1,5,1,5,1,1,1,5,5,1,4,1,4,1,4,4,1,4,1,32,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,compliant,undesirable_compile,1,smoking,drugs,sports,1,1,NA,1,5.142857142857143,5.25,7,6.333333333333333,7,7,5.9,0,4.5,1,nonduplicated,0,pass,pass,eligible
R_9ZAt243CCsFUhGx,e2f8bcde,0,2019-01-24T14:35:41Z,2019-01-24T14:52:07Z,1,29437190,40495833,"Bumble, Coffee Meets Bagel, eHarmony, Match.com/ca, Plenty of Fish",3H781YYV6TJZN6QDQ4GUTO16G1QTEM,3R3YRB5GRF4EJQMK069JQLS5TQLAUU,undesirable_eliminate,undesirable,1,NA,NA,NA,NA,1,NA,NA,6,5,7,6,5,4,2,6,3,2,6,3,5,7,6,pof,1,23,12,2,10,7,4,7,7,4,6,6,2,2,7,5,9,6,9,10,7,5,4,3,7,7,7,15,14,11,16,16,14,11,17,14,11,5,5,3,4,5,5,2,4,3,2,3,2,4,5,1,2,3,1,1,3,41,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_eliminate,1,broad,strong,mysterious,1,1,Thank You.,1,5,4.75,6,4,4.666666666666667,5.5,5.7,0,3.1,3.2,nonduplicated,1,fail,fail,ineligible
R_12QK4gJBw2TxYph,2406170e,0,2019-01-24T14:01:59Z,2019-01-24T14:52:19Z,1,87199426,764fe91c,"OkCupid, Tinder",3TKXBROM5TBHP8WUATSHCXCPAS6JIG,3OVHNO1VE62T3WJ6Q3ZTXEFQGB2ZDF,undesirable_eliminate,undesirable,1,NA,NA,NA,NA,NA,NA,NA,3,2,2,5,6,5,4,5,5,5,5,6,6,5,5,okc,NA,31,5,2,10,7,7,6,7,7,6,7,1,1,9,10,10,10,10,10,7,7,7,7,7,7,7,16,17,12,15,16,16,11,17,16,11,5,1,5,1,4,1,1,1,5,4,1,5,1,3,2,5,5,2,5,1,36,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_eliminate,1,personality,open to new experiences,conservative,1,1,NA,1,3.857142857142857,5.25,6.666666666666667,5.333333333333333,6.833333333333333,7,6.3,0,4.6,1.2,nonduplicated,0,pass,fail,eligible
R_2Qro1q0NE5qkGkJ,eb9beaad,0,2019-01-24T14:17:06Z,2019-01-24T14:56:01Z,1,54564211,91e8886a,"eHarmony, Match.com/ca, Plenty of Fish",3TKXBROM5TBHP8WUATSHCXCPAS6JIG,3I3WADAZ9Q5M0FQ69O6TJ4KUJQ0O5T,undesirable_compile,undesirable,1,NA,NA,NA,NA,NA,NA,NA,2,1,2,5,4,3,2,6,5,5,4,6,6,6,4,pof,NA,15,1,2,10,6,6,6,3,7,5,5,2,2,8,8,8,7,7,7,6,5,7,6,6,6,5,15,16,13,14,16,14,12,13,14,12,4,1,4,1,2,1,1,1,4,3,1,2,1,2,2,3,4,2,3,1,37,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_eliminate,2,Athletic,Average,Outdoorsy,1,1,none it was fun!,1,2.7142857142857144,5.25,6,5.333333333333333,4.5,6,4.9,0,3.1,1.2,nonduplicated,0,pass,fail,eligible
R_27p4UcdDXAp2jgp,a7906315,0,2019-01-24T14:31:15Z,2019-01-24T14:57:10Z,1,11117475,324a82b6,"Badoo, Plenty of Fish",3H781YYV6TJZN6QDQ4GUTO16G1QTEM,3QEMNNSB2X0AJMD0787A6UMR6IH7DN,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,3,1,3,1,5,1,2,4,5,5,3,6,6,6,5,okc,NA,4,1,2,10,7,6,6,6,6,1,7,1,4,6,6,9,9,9,9,7,6,7,6,7,7,6,15,13,13,15,16,15,13,15,15,15,4,1,5,1,4,1,1,1,4,3,1,1,1,3,1,4,4,1,5,1,39,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_compile,1,Looks,Activities,How they wrote and what they wrote about themselves,1,1,Not at this time.,1,2.2857142857142856,5,6.333333333333333,6.666666666666667,5,6.666666666666667,4.7,0,3.7,1,nonduplicated,0,pass,pass,eligible
R_2ffCgcK4CYiEpha,6c068dc4,0,2019-01-24T14:22:22Z,2019-01-24T15:00:18Z,1,3795662,e704d950,eHarmony,3D5G8J4N5A5GPHCZLU54TSPSGWTVTU,3LO69W1SU3ECARCTDS9SVK7PEUTLGB,undesirable_eliminate,undesirable,1,NA,NA,NA,NA,NA,NA,NA,2,3,4,3,5,2,5,5,7,5,4,5,5,6,6,eharm,NA,25,5,2,10,4,5,4,7,5,5,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,12,13,15,11,13,13,12,13,14,14,3,1,3,1,3,2,1,1,2,4,1,3,2,1,1,3,3,1,1,1,48,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,compliant,undesirable_eliminate,2,athletic,spiritual,traveling,1,1,NA,1,3.4285714285714284,5.375,4.333333333333333,3.6666666666666665,2.6666666666666665,6,3.2,0,2.6,1.2,nonduplicated,0,pass,pass,eligible
R_2dZxJRxPMLDKtyB,6078c471,0,2019-01-24T14:45:35Z,2019-01-24T15:03:50Z,1,77678529,2e3529f0,"OkCupid, Plenty of Fish",3NBFJK3IOHJHUSHW0IKJZHGVU9OOGC,31T4R4OBOSH0EU7M7CCZMO49LJ9C7Y,undesirable_compile,undesirable,1,NA,NA,NA,NA,NA,NA,NA,3,1,1,7,7,5,1,7,7,7,7,7,7,7,7,okc,NA,5,3,2,10,7,7,7,7,7,1,7,1,7,10,10,10,10,10,10,7,7,7,7,7,7,7,16,16,11,15,16,16,13,16,16,14,4,1,4,1,5,1,1,1,4,5,1,4,1,5,1,5,5,1,4,1,33,male,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_eliminate,1,Dedication to their children,Wanting great sex,Not into racism and playing games/ bullshit,1,1,I do believe I did everything exactly as required. I paid extra attention to attention span items. Have a great day!  :),1,3.5714285714285716,7,7,7,7,7,5.7,0,4.5,1,nonduplicated,0,pass,fail,eligible
R_1cYzYFYJKNH9j5u,0a78abb5,0,2019-01-24T14:47:07Z,2019-01-24T15:04:26Z,1,85134449,627b0fb8,"Plenty of Fish, Tinder",3H781YYV6TJZN6QDQ4GUTO16G1QTEM,338JKRMM2609E4G0072K763FZJRAH3,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,5,4,5,5,6,6,5,7,6,5,5,6,6,6,5,pof,NA,6,1,2,10,5,4,3,4,7,2,5,1,6,7,7,9,8,7,7,5,4,5,4,4,5,4,14,15,14,13,14,14,15,15,13,15,2,1,2,1,3,1,1,1,3,3,1,2,1,3,1,3,2,1,2,1,22,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_compile,1,hard worker,romantic,independent,1,1,NA,1,5.142857142857143,5.75,4,6.666666666666667,4.5,4.5,3.8,0,2.5,1,nonduplicated,0,pass,pass,eligible
R_2DYVdEz8WPR1VEu,f63883dc,0,2019-01-24T14:48:31Z,2019-01-24T15:07:13Z,1,36220237,1f825e73,OkCupid,3H781YYV6TJZN6QDQ4GUTO16G1QTEM,386CSBG1OZNL4V30TK820FTUUNTQ6L,desirable_eliminate,desirable,1,NA,NA,NA,1,NA,NA,NA,4,4,4,3,5,5,4,5,4,3,5,4,4,4,4,okc,NA,3,1,5,7,4,4,4,4,4,5,4,5,4,7,6,7,8,7,7,4,4,5,4,4,4,4,14,14,14,15,14,14,15,14,14,14,3,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,2,1,24,male,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_compile,1,Funny,Outgoing,Wild,1,1,The survey was concise and easy to follow through.,1,4.142857142857143,4.125,4,3.3333333333333335,4,4.166666666666667,4,0,1.7,1,nonduplicated,1,fail,fail,ineligible
R_2ZEwmu07TjpCsXf,1fce44c1,0,2019-01-24T14:42:35Z,2019-01-24T15:07:55Z,1,50421476,e92f94b9,"Plenty of Fish, Tinder",3TY2U1TEB7BDKJG0SBDHOYRPN7VJJS,39K0FND3AHGV6IHBR4IXZBBBG4LAM5,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,4,5,4,5,6,1,6,7,7,6,6,7,7,7,7,pof,NA,12,3,2,10,5,5,4,4,7,2,6,1,2,7,6,8,7,8,8,7,7,7,6,7,7,7,13,12,16,13,15,14,17,13,14,16,3,1,2,2,3,1,1,1,2,2,4,4,2,3,2,3,5,2,2,1,24,male,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_compile,1,Loyalty,Outgoing,Ambitious,1,1,NA,1,4.428571428571429,6.75,4.666666666666667,6.666666666666667,4.333333333333333,6.833333333333333,2.9,0,2.9,1.7,nonduplicated,0,pass,pass,eligible
R_vOxaTBRwGpZP2jD,6604074d,0,2019-01-24T14:45:43Z,2019-01-24T15:12:15Z,1,85713044,738b169b,"Bumble, OkCupid, Plenty of Fish, Tinder",3TKXBROM5TBHP8WUATSHCXCPAS6JIG,33TIN5LC04BHVGWKI1S8XBNYJXKY99,undesirable_eliminate,undesirable,1,NA,NA,NA,NA,NA,NA,NA,7,7,7,6,6,4,6,7,7,7,7,4,7,7,6,okc,NA,8,2,2,10,7,7,7,7,7,1,7,1,7,10,10,10,10,10,10,7,7,7,7,7,7,7,17,17,11,15,17,17,11,15,17,11,5,1,3,1,1,1,1,1,4,2,1,1,1,5,3,5,5,2,3,1,23,female,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,compliant,undesirable_eliminate,2,serious,stern,simple,1,1,None :),1,6.142857142857143,6.5,7,7,7,7,6.6,1,3.4,1.3,nonduplicated,0,pass,pass,eligible
R_2ts8Olo1VR7UpPN,dbf91455,0,2019-01-24T14:49:51Z,2019-01-24T15:12:24Z,1,38000135,60a6204f,"eHarmony, Match.com/ca, Plenty of Fish, Tinder",3NBFJK3IOHJHUSHW0IKJZHGVU9OOGC,3N1FSUEFL51D0ZVH5A933I2HFH2D4M,desirable_compile,desirable,1,NA,NA,NA,NA,NA,NA,NA,5,3,4,4,4,1,6,7,5,7,6,7,7,7,7,eharm,NA,8,2,2,10,7,6,5,5,7,1,7,1,1,7,7,9,10,10,10,7,7,7,7,7,7,7,13,12,16,12,15,13,16,13,13,15,4,1,2,1,3,1,1,1,2,2,1,5,1,2,1,5,4,1,4,1,42,male,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,compliant,desirable_compile,1,Family Oriented,Active/Healthy Lifestyle,Love of Animals,1,1,"Very fun, enjoyable, and well put together study!  Thank you so much for the strategies!",1,3.857142857142857,6.625,6,7,5.833333333333333,7,2.8,0,3.3,1,nonduplicated,0,pass,pass,eligible
